,title,item_opened_by,current_status,labels,created_by,location,contrib_type,repo,type
182,Glossary of technical terms,2023-12-28 15:05:39,open,"documentation, sprintable",kierisi,"Chicago, IL",staff,python-package-guide,issues
183,Enh: Redesign of packaging guide landing page,2023-12-24 00:51:04,closed,enhancement-feature,lwasser,United States,staff,python-package-guide,issues
184,[review-round-2 - Jan 3 merge] What is a Python package intro tutorial?,2023-12-22 19:38:54,closed,,lwasser,United States,staff,python-package-guide,issues
185,Running tutorial TODO list,2023-12-22 01:51:29,closed,,lwasser,United States,staff,python-package-guide,issues
186,"Enh: Tests content - about, write tests, types of tests ",2023-12-20 23:02:40,closed,🚀 ready-for-review,lwasser,United States,staff,python-package-guide,issues
187,[packaging-guide] Tests overview page - add runnable examples to the guidebook,2023-12-16 00:42:04,open,help wanted,lwasser,United States,staff,python-package-guide,issues
188,A lesson on shell / bash setup - related to the dependency page PR,2023-12-15 18:29:22,open,,lwasser,United States,staff,python-package-guide,issues
189,Fix: invalid json in contribs file,2023-12-12 01:39:13,closed,,lwasser,United States,staff,python-package-guide,issues
190,testing all contribs,2023-12-12 01:35:50,closed,,lwasser,United States,staff,python-package-guide,issues
191,Enh: Remove Google Tag,2023-12-06 06:55:03,closed,,sneakers-the-rat,,staff,python-package-guide,issues
192,"[CSS] Local fonts, working fonts!",2023-12-06 06:39:24,closed,,sneakers-the-rat,,staff,python-package-guide,issues
193,[CSS] Increase dark mode contrast to meet WCAG requirements and other dark mode things,2023-12-06 04:12:47,closed,,sneakers-the-rat,,staff,python-package-guide,issues
194,Fix: cleanup of existing pages as we create tutorials,2023-12-06 00:49:48,closed,,lwasser,United States,staff,python-package-guide,issues
195,🐞 Bug Bash wk 2🐞 Add: second lesson and images ,2023-12-05 18:30:43,closed,bug-bash,lwasser,United States,staff,python-package-guide,issues
196,Small readme title fix,2023-11-30 21:47:18,closed,,lwasser,United States,staff,python-package-guide,issues
197,Fix: styles adjustment to match pyos branding ,2023-11-30 21:44:49,closed,,lwasser,United States,staff,python-package-guide,issues
198,🐛 BUG BASH 🐛 Add: initial new tutorial - what is a Python package + images ✨ ,2023-11-30 20:34:01,closed,bug-bash,lwasser,United States,staff,python-package-guide,issues
199,Enh: add initial tutorial drafts,2023-11-13 21:34:39,closed,,lwasser,United States,staff,python-package-guide,issues
200,Fix: broken links and add alt tags,2023-11-09 20:25:03,closed,,lwasser,United States,staff,python-package-guide,issues
201,Minor spelling fix,2023-11-09 17:57:28,closed,,lwasser,United States,staff,python-package-guide,issues
202,Fix build tools section - hatch now supports other backends,2023-11-01 14:39:32,open,bug-fix,lwasser,United States,staff,python-package-guide,issues
203,Add: data section to guide,2023-10-27 17:32:10,open,"enhancement-feature, draft",NickleDave,Charm City,staff,python-package-guide,issues
204,Update pre-commit section,2023-10-26 21:00:33,closed,,namurphy,"Cambridge, Massachusetts, USA",staff,python-package-guide,issues
205,Add:  dependency page to guide,2023-10-11 18:58:50,closed,"new-content, 🚀 ready-for-review",lwasser,United States,staff,python-package-guide,issues
206,How to add dependencies to the pyproject.toml,2023-10-02 17:39:13,closed,,lwasser,United States,staff,python-package-guide,issues
207,Add: code coverage & CI pages to guide,2023-09-26 01:40:23,closed,"new-content, updates-underway",lwasser,United States,staff,python-package-guide,issues
208,"Fix: general cleanup of syntax, sphinx warnings",2023-09-26 01:39:18,closed,bug-fix,lwasser,United States,staff,python-package-guide,issues
209,package name consistency,2023-09-06 16:41:56,closed,,ucodery,,staff,python-package-guide,issues
210,Add build clarification to package guide,2023-08-21 23:30:52,closed,new-content,lwasser,United States,staff,python-package-guide,issues
211,issue to add new contributors,2023-08-21 22:40:41,closed,,lwasser,United States,staff,python-package-guide,issues
212,docs: Add ruff section in code style page,2023-08-03 09:11:34,closed,,Batalex,,staff,python-package-guide,issues
213,Fix: broken navigation,2023-08-02 21:10:46,closed,,lwasser,United States,staff,python-package-guide,issues
214,Remove duplicated instructions,2023-07-28 13:07:11,closed,,ocefpaf,"Florianópolis, SC",staff,python-package-guide,issues
215,Update conf.py file to reduce the number of items in the top header of our guide - fix for safari.,2023-07-15 16:36:16,closed,,yang-ruoxi,,staff,python-package-guide,issues
216,Package guide title squashed with other links ,2023-07-15 16:34:21,closed,,yang-ruoxi,,staff,python-package-guide,issues
217,Fix: link to peer review in header and update diagram,2023-06-16 02:11:52,closed,,lwasser,United States,staff,python-package-guide,issues
218,fix: typos,2023-05-31 10:14:00,closed,,dpprdan,"Hamburg, Germany",staff,python-package-guide,issues
219,Describe what a changelog is in the documentation,2023-05-26 17:44:34,closed,"help wanted, sprintable",lwasser,United States,staff,python-package-guide,issues
220,Provide guidance about examples that demonstrate how to use a package,2023-05-12 17:56:22,open,new-content,wigging,"Knoxville, TN",staff,python-package-guide,issues
221,Fix: edits to the packaging section of the guide ✨ ,2023-04-25 19:20:49,closed,,ucodery,,staff,python-package-guide,issues
222,some user-documentation improvements,2023-04-25 16:29:34,closed,,ucodery,,staff,python-package-guide,issues
223,Add: update logo and decision tree diagram,2023-04-18 18:39:22,closed,,lwasser,United States,staff,python-package-guide,issues
224,Add: typing section to docstring page in guide,2023-04-05 13:17:39,closed,,lwasser,United States,staff,python-package-guide,issues
225,"We need to answer the question - what is ""building"" a package",2023-04-03 19:27:09,closed,"documentation, help wanted, sprintable",lwasser,United States,staff,python-package-guide,issues
226,Move ci to update monthly and add to the bottom of the file,2023-03-31 15:35:18,closed,,lwasser,United States,staff,python-package-guide,issues
227,✨ TUTORIAL - python packaging:  - Create a start to finish tutorial using PDM for packaging,2023-03-28 17:50:49,closed,"help wanted, sprintable",lwasser,United States,staff,python-package-guide,issues
228,"Create a demo blog post on PDM, Hatch, Poetry (flit is done)",2023-03-28 17:47:57,closed,"help wanted, sprintable",lwasser,United States,staff,python-package-guide,issues
